Intensity(µW/cm2/nm),Mac,,,,,,iOS,,,,,,,,
Wavelength,Full Brightness White Screen,Minimum Brightness White Screen,Full Brightness (1200K),Minimum Brightness (1200K),"Black, max brightness","Black, min brightness",White,White Medium,White Darkest,Black: Bright,Black: Medium,"Black, Blackest",Red,Red (Med),Red (Dark)
197.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
